Time,request_count.cloud_run_revision.ALIGN_RATE.REDUCE_SUM.metric.type="run.googleapis.com/request_count" resource.type="cloud_run_revision" resource.labels.service_name="ml-deploy" resource.labels.project_id="shining-hydra-347804" resource.labels.location="us-central1".project_id:shining-hydra-347804.response_code_class:2xx
Sun May 08 2022 12:35:30 GMT-0400 (Eastern Daylight Time),0.1
Sun May 08 2022 12:36:00 GMT-0400 (Eastern Daylight Time),0.1
Sun May 08 2022 12:36:30 GMT-0400 (Eastern Daylight Time),0.25
Sun May 08 2022 12:37:00 GMT-0400 (Eastern Daylight Time),0.25
Sun May 08 2022 12:37:30 GMT-0400 (Eastern Daylight Time),0.23333333333333334
Sun May 08 2022 12:38:00 GMT-0400 (Eastern Daylight Time),0.23333333333333334
Sun May 08 2022 12:38:30 GMT-0400 (Eastern Daylight Time),0.23333333333333334
Sun May 08 2022 12:39:00 GMT-0400 (Eastern Daylight Time),0.23333333333333334
Sun May 08 2022 12:39:30 GMT-0400 (Eastern Daylight Time),0.16666666666666666
Sun May 08 2022 12:40:00 GMT-0400 (Eastern Daylight Time),0.16666666666666666
Sun May 08 2022 12:40:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:41:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:41:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:42:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:42:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:43:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:43:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:44:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:44:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:45:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:45:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:46:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:46:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:47:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:47:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:48:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:48:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:49:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:49:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:50:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:50:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:51:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:51:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:52:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:52:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:53:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:53:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:54:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:54:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:55:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:55:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:56:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:56:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:57:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:57:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:58:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:58:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:59:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 12:59:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:00:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:05:30 GMT-0400 (Eastern Daylight Time),4.4
Sun May 08 2022 13:06:00 GMT-0400 (Eastern Daylight Time),4.4
Sun May 08 2022 13:06:30 GMT-0400 (Eastern Daylight Time),2.7666666666666666
Sun May 08 2022 13:07:00 GMT-0400 (Eastern Daylight Time),2.7666666666666666
Sun May 08 2022 13:07:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:08:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:08:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:09:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:09:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:10:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:10:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:11:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:11:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:12:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:12:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:13:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:13:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:14:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:14:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:15:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:15:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:16:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:16:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:17:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:17:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:18:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:18:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:19:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:19:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:20:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:20:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:21:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:21:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:22:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:22:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:23:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:23:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:24:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:24:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:25:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:25:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:26:00 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:26:30 GMT-0400 (Eastern Daylight Time),0
Sun May 08 2022 13:27:00 GMT-0400 (Eastern Daylight Time),0