Time,request_latencies.cloud_run_revision.ALIGN_DELTA.REDUCE_PERCENTILE_99.metric.type="run.googleapis.com/request_latencies" resource.type="cloud_run_revision" resource.labels.service_name="ml-deploy" resource.labels.project_id="shining-hydra-347804" resource.labels.location="us-central1".project_id:shining-hydra-347804.service_name:ml-deploy
Sun May 08 2022 12:35:10 GMT-0400 (Eastern Daylight Time),64225.28
Sun May 08 2022 12:35:20 GMT-0400 (Eastern Daylight Time),64225.28
Sun May 08 2022 12:35:30 GMT-0400 (Eastern Daylight Time),64225.28
Sun May 08 2022 12:35:40 GMT-0400 (Eastern Daylight Time),64225.28
Sun May 08 2022 12:35:50 GMT-0400 (Eastern Daylight Time),64225.28
Sun May 08 2022 12:36:00 GMT-0400 (Eastern Daylight Time),64225.28
Sun May 08 2022 12:36:10 GMT-0400 (Eastern Daylight Time),30801.920000000013
Sun May 08 2022 12:36:20 GMT-0400 (Eastern Daylight Time),30801.920000000013
Sun May 08 2022 12:36:30 GMT-0400 (Eastern Daylight Time),30801.920000000013
Sun May 08 2022 12:36:40 GMT-0400 (Eastern Daylight Time),30801.920000000013
Sun May 08 2022 12:36:50 GMT-0400 (Eastern Daylight Time),30801.920000000013
Sun May 08 2022 12:37:00 GMT-0400 (Eastern Daylight Time),30801.920000000013
Sun May 08 2022 12:37:10 GMT-0400 (Eastern Daylight Time),503.03999999999996
Sun May 08 2022 12:37:20 GMT-0400 (Eastern Daylight Time),503.03999999999996
Sun May 08 2022 12:37:30 GMT-0400 (Eastern Daylight Time),503.03999999999996
Sun May 08 2022 12:37:40 GMT-0400 (Eastern Daylight Time),503.03999999999996
Sun May 08 2022 12:37:50 GMT-0400 (Eastern Daylight Time),503.03999999999996
Sun May 08 2022 12:38:00 GMT-0400 (Eastern Daylight Time),503.03999999999996
Sun May 08 2022 12:38:10 GMT-0400 (Eastern Daylight Time),499.19999999999993
Sun May 08 2022 12:38:20 GMT-0400 (Eastern Daylight Time),499.19999999999993
Sun May 08 2022 12:38:30 GMT-0400 (Eastern Daylight Time),499.19999999999993
Sun May 08 2022 12:38:40 GMT-0400 (Eastern Daylight Time),499.19999999999993
Sun May 08 2022 12:38:50 GMT-0400 (Eastern Daylight Time),499.19999999999993
Sun May 08 2022 12:39:00 GMT-0400 (Eastern Daylight Time),499.19999999999993
Sun May 08 2022 12:39:10 GMT-0400 (Eastern Daylight Time),252.67199999999997
Sun May 08 2022 12:39:20 GMT-0400 (Eastern Daylight Time),252.67199999999997
Sun May 08 2022 12:39:30 GMT-0400 (Eastern Daylight Time),252.67199999999997
Sun May 08 2022 12:39:40 GMT-0400 (Eastern Daylight Time),252.67199999999997
Sun May 08 2022 12:39:50 GMT-0400 (Eastern Daylight Time),252.67199999999997
Sun May 08 2022 12:40:00 GMT-0400 (Eastern Daylight Time),252.67199999999997
Sun May 08 2022 12:40:10 GMT-0400 (Eastern Daylight Time),254.72
Sun May 08 2022 12:40:20 GMT-0400 (Eastern Daylight Time),254.72
Sun May 08 2022 12:40:30 GMT-0400 (Eastern Daylight Time),254.72
Sun May 08 2022 12:40:40 GMT-0400 (Eastern Daylight Time),254.72
Sun May 08 2022 12:40:50 GMT-0400 (Eastern Daylight Time),254.72
Sun May 08 2022 12:41:00 GMT-0400 (Eastern Daylight Time),254.72
Sun May 08 2022 13:05:10 GMT-0400 (Eastern Daylight Time),29233.737142857164
Sun May 08 2022 13:05:20 GMT-0400 (Eastern Daylight Time),29233.737142857164
Sun May 08 2022 13:05:30 GMT-0400 (Eastern Daylight Time),29233.737142857164
Sun May 08 2022 13:05:40 GMT-0400 (Eastern Daylight Time),29233.737142857164
Sun May 08 2022 13:05:50 GMT-0400 (Eastern Daylight Time),29233.737142857164
Sun May 08 2022 13:06:00 GMT-0400 (Eastern Daylight Time),29233.737142857164
Sun May 08 2022 13:06:10 GMT-0400 (Eastern Daylight Time),1997.4399999999987
Sun May 08 2022 13:06:20 GMT-0400 (Eastern Daylight Time),1997.4399999999987
Sun May 08 2022 13:06:30 GMT-0400 (Eastern Daylight Time),1997.4399999999987
Sun May 08 2022 13:06:40 GMT-0400 (Eastern Daylight Time),1997.4399999999987
Sun May 08 2022 13:06:50 GMT-0400 (Eastern Daylight Time),1997.4399999999987
Sun May 08 2022 13:07:00 GMT-0400 (Eastern Daylight Time),1997.4399999999987